c FILE: m500-10-3.dat
c
c AUTHOR: Marcelo de Souza
c
c DESCRIPTION: This is a random graph with 500 vertices.
c   Each of pair of vertices are made adjacent with probability p = 0.1.
c   The random seed used for its generation was 9202499282.
c
c May 7th, 2019
c
p edge 500 12512
e 1 14
e 1 17
e 1 24
e 1 34
e 1 35
e 1 43
e 1 51
e 1 55
e 1 73
e 1 87
e 1 95
e 1 98
e 1 104
e 1 106
e 1 107
e 1 108
e 1 110
e 1 113
e 1 118
e 1 141
e 1 148
e 1 154
e 1 161
e 1 172
e 1 187
e 1 188
e 1 189
e 1 199
e 1 210
e 1 214
e 1 222
e 1 225
e 1 231
e 1 232
e 1 237
e 1 283
e 1 297
e 1 301
e 1 310
e 1 313
e 1 315
e 1 319
e 1 327
e 1 335
e 1 343
e 1 357
e 1 362
e 1 365
e 1 374
e 1 380
e 1 407
e 1 411
e 1 428
e 1 455
e 1 457
e 1 471
e 1 473
e 1 476
e 1 491
e 2 15
e 2 39
e 2 41
e 2 62
e 2 86
e 2 121
e 2 136
e 2 177
e 2 195
e 2 253
e 2 261
e 2 282
e 2 283
e 2 285
e 2 288
e 2 298
e 2 308
e 2 312
e 2 323
e 2 328
e 2 335
e 2 337
e 2 340
e 2 357
e 2 374
e 2 382
e 2 396
e 2 403
e 2 414
e 2 416
e 2 426
e 2 439
e 2 452
e 2 459
e 3 8
e 3 10
e 3 13
e 3 15
e 3 20
e 3 48
e 3 51
e 3 54
e 3 59
e 3 69
e 3 102
e 3 104
e 3 113
e 3 126
e 3 135
e 3 141
e 3 152
e 3 157
e 3 162
e 3 178
e 3 183
e 3 184
e 3 188
e 3 194
e 3 196
e 3 209
e 3 212
e 3 221
e 3 250
e 3 257
e 3 300
e 3 302
e 3 318
e 3 324
e 3 329
e 3 334
e 3 342
e 3 351
e 3 358
e 3 360
e 3 368
e 3 392
e 3 402
e 3 413
e 3 416
e 3 448
e 3 454
e 3 463
e 3 478
e 3 487
e 3 496
e 4 6
e 4 13
e 4 15
e 4 17
e 4 33
e 4 36
e 4 40
e 4 50
e 4 67
e 4 70
e 4 78
e 4 82
e 4 99
e 4 113
e 4 117
e 4 118
e 4 139
e 4 146
e 4 151
e 4 171
e 4 195
e 4 199
e 4 217
e 4 223
e 4 235
e 4 240
e 4 266
e 4 271
e 4 280
e 4 294
e 4 300
e 4 307
e 4 324
e 4 327
e 4 334
e 4 343
e 4 350
e 4 358
e 4 362
e 4 363
e 4 371
e 4 379
e 4 396
e 4 398
e 4 431
e 4 438
e 4 447
e 4 449
e 4 450
e 4 472
e 4 478
e 4 489
e 5 13
e 5 14
e 5 25
e 5 45
e 5 48
e 5 54
e 5 64
e 5 69
e 5 73
e 5 78
e 5 79
e 5 86
e 5 107
e 5 118
e 5 120
e 5 134
e 5 138
e 5 162
e 5 172
e 5 180
e 5 192
e 5 229
e 5 248
e 5 268
e 5 272
e 5 279
e 5 299
e 5 301
e 5 309
e 5 314
e 5 319
e 5 339
e 5 347
e 5 357
e 5 358
e 5 362
e 5 373
e 5 377
e 5 387
e 5 390
e 5 393
e 5 394
e 5 417
e 5 419
e 5 423
e 5 452
e 5 455
e 5 459
e 5 460
e 5 483
e 5 490
e 5 493
e 5 498
e 5 499
e 6 10
e 6 21
e 6 29
e 6 39
e 6 54
e 6 66
e 6 73
e 6 75
e 6 89
e 6 94
e 6 117
e 6 151
e 6 160
e 6 165
e 6 174
e 6 181
e 6 187
e 6 193
e 6 197
e 6 201
e 6 204
e 6 212
e 6 234
e 6 238
e 6 247
e 6 251
e 6 252
e 6 258
e 6 302
e 6 310
e 6 312
e 6 322
e 6 327
e 6 332
e 6 346
e 6 349
e 6 361
e 6 365
e 6 371
e 6 372
e 6 391
e 6 423
e 6 439
e 6 444
e 6 451
e 6 458
e 6 470
e 6 483
e 6 493
e 6 499
e 7 10
e 7 15
e 7 31
e 7 41
e 7 45
e 7 51
e 7 53
e 7 74
e 7 76
e 7 83
e 7 99
e 7 113
e 7 117
e 7 145
e 7 146
e 7 152
e 7 156
e 7 164
e 7 181
e 7 199
e 7 203
e 7 223
e 7 225
e 7 229
e 7 258
e 7 265
e 7 266
e 7 277
e 7 287
e 7 294
e 7 303
e 7 305
e 7 306
e 7 318
e 7 329
e 7 330
e 7 333
e 7 346
e 7 350
e 7 366
e 7 370
e 7 420
e 7 422
e 7 423
e 7 427
e 7 439
e 7 444
e 7 451
e 7 493
e 7 495
e 8 34
e 8 41
e 8 52
e 8 54
e 8 55
e 8 57
e 8 66
e 8 69
e 8 71
e 8 79
e 8 108
e 8 110
e 8 126
e 8 134
e 8 141
e 8 142
e 8 152
e 8 155
e 8 159
e 8 187
e 8 189
e 8 191
e 8 203
e 8 204
e 8 213
e 8 216
e 8 226
e 8 256
e 8 258
e 8 260
e 8 276
e 8 284
e 8 293
e 8 298
e 8 315
e 8 316
e 8 329
e 8 359
e 8 374
e 8 380
e 8 402
e 8 404
e 8 419
e 8 429
e 8 430
e 8 445
e 8 469
e 8 470
e 8 483
e 8 494
e 9 13
e 9 14
e 9 38
e 9 48
e 9 52
e 9 68
e 9 72
e 9 83
e 9 90
e 9 94
e 9 102
e 9 116
e 9 126
e 9 145
e 9 156
e 9 158
e 9 166
e 9 169
e 9 176
e 9 184
e 9 211
e 9 228
e 9 240
e 9 246
e 9 251
e 9 278
e 9 279
e 9 290
e 9 293
e 9 318
e 9 319
e 9 330
e 9 341
e 9 357
e 9 362
e 9 367
e 9 377
e 9 383
e 9 385
e 9 404
e 9 410
e 9 417
e 9 428
e 9 440
e 9 458
e 9 479
e 9 492
e 10 71
e 10 72
e 10 74
e 10 91
e 10 121
e 10 124
e 10 135
e 10 137
e 10 138
e 10 142
e 10 159
e 10 161
e 10 169
e 10 175
e 10 181
e 10 186
e 10 190
e 10 195
e 10 202
e 10 220
e 10 237
e 10 267
e 10 295
e 10 296
e 10 314
e 10 316
