c FILE: m250-50-1.dat
c
c AUTHOR: Marcelo de Souza
c
c DESCRIPTION: This is a random graph with 250 vertices.
c   Each of pair of vertices are made adjacent with probability p = 0.5.
c   The random seed used for its generation was 7962981573.
c
c May 7th, 2019
c
p edge 250 15485
e 1 3
e 1 4
e 1 5
e 1 6
e 1 7
e 1 10
e 1 11
e 1 16
e 1 17
e 1 18
e 1 20
e 1 21
e 1 23
e 1 30
e 1 32
e 1 35
e 1 36
e 1 37
e 1 38
e 1 39
e 1 43
e 1 46
e 1 48
e 1 50
e 1 52
e 1 58
e 1 59
e 1 61
e 1 62
e 1 63
e 1 65
e 1 67
e 1 69
e 1 70
e 1 71
e 1 74
e 1 75
e 1 76
e 1 78
e 1 83
e 1 84
e 1 85
e 1 87
e 1 90
e 1 91
e 1 92
e 1 93
e 1 95
e 1 96
e 1 97
e 1 99
e 1 100
e 1 101
e 1 102
e 1 103
e 1 104
e 1 105
e 1 106
e 1 108
e 1 109
e 1 112
e 1 117
e 1 120
e 1 121
e 1 122
e 1 123
e 1 127
e 1 128
e 1 131
e 1 133
e 1 135
e 1 137
e 1 141
e 1 143
e 1 145
e 1 146
e 1 147
e 1 148
e 1 151
e 1 152
e 1 158
e 1 159
e 1 162
e 1 164
e 1 165
e 1 166
e 1 170
e 1 171
e 1 172
e 1 173
e 1 174
e 1 176
e 1 181
e 1 185
e 1 186
e 1 188
e 1 190
e 1 192
e 1 193
e 1 195
e 1 196
e 1 200
e 1 201
e 1 205
e 1 206
e 1 208
e 1 209
e 1 211
e 1 212
e 1 214
e 1 216
e 1 218
e 1 219
e 1 220
e 1 222
e 1 223
e 1 225
e 1 226
e 1 227
e 1 229
e 1 232
e 1 233
e 1 234
e 1 237
e 1 238
e 1 243
e 1 247
e 1 250
e 2 4
e 2 6
e 2 8
e 2 12
e 2 20
e 2 21
e 2 22
e 2 24
e 2 25
e 2 28
e 2 29
e 2 30
e 2 31
e 2 34
e 2 35
e 2 38
e 2 39
e 2 41
e 2 44
e 2 45
e 2 46
e 2 47
e 2 48
e 2 50
e 2 51
e 2 52
e 2 55
e 2 58
e 2 59
e 2 61
e 2 64
e 2 65
e 2 67
e 2 72
e 2 74
e 2 76
e 2 78
e 2 80
e 2 83
e 2 86
e 2 87
e 2 89
e 2 94
e 2 96
e 2 98
e 2 100
e 2 103
e 2 105
e 2 106
e 2 107
e 2 108
e 2 110
e 2 112
e 2 113
e 2 114
e 2 116
e 2 117
e 2 118
e 2 119
e 2 121
e 2 122
e 2 123
e 2 125
e 2 127
e 2 130
e 2 134
e 2 136
e 2 138
e 2 142
e 2 146
e 2 147
e 2 150
e 2 153
e 2 154
e 2 155
e 2 156
e 2 162
e 2 163
e 2 164
e 2 166
e 2 169
e 2 170
e 2 171
e 2 173
e 2 174
e 2 178
e 2 180
e 2 181
e 2 183
e 2 184
e 2 186
e 2 189
e 2 190
e 2 192
e 2 193
e 2 194
e 2 197
e 2 200
e 2 201
e 2 203
e 2 204
e 2 205
e 2 207
e 2 211
e 2 213
e 2 214
e 2 216
e 2 220
e 2 224
e 2 227
e 2 230
e 2 232
e 2 234
e 2 240
e 2 242
e 2 243
e 2 247
e 3 6
e 3 7
e 3 9
e 3 13
e 3 15
e 3 16
e 3 17
e 3 19
e 3 21
e 3 23
e 3 24
e 3 28
e 3 30
e 3 31
e 3 32
e 3 33
e 3 35
e 3 37
e 3 38
e 3 43
e 3 44
e 3 46
e 3 47
e 3 48
e 3 51
e 3 52
e 3 56
e 3 57
e 3 59
e 3 60
e 3 61
e 3 62
e 3 63
e 3 66
e 3 67
e 3 68
e 3 71
e 3 73
e 3 75
e 3 76
e 3 79
e 3 80
e 3 81
e 3 82
e 3 83
e 3 85
e 3 86
e 3 89
e 3 91
e 3 92
e 3 95
e 3 96
e 3 98
e 3 101
e 3 102
e 3 103
e 3 104
e 3 105
e 3 108
e 3 110
e 3 113
e 3 115
e 3 117
e 3 118
e 3 119
e 3 120
e 3 121
e 3 123
e 3 127
e 3 130
e 3 131
e 3 138
e 3 144
e 3 146
e 3 147
e 3 149
e 3 151
e 3 154
e 3 156
e 3 157
e 3 161
e 3 162
e 3 163
e 3 166
e 3 168
e 3 171
e 3 172
e 3 174
e 3 178
e 3 179
e 3 182
e 3 183
e 3 184
e 3 187
e 3 189
e 3 192
e 3 193
e 3 194
e 3 196
e 3 197
e 3 199
e 3 200
e 3 201
e 3 202
e 3 204
e 3 206
e 3 208
e 3 211
e 3 212
e 3 214
e 3 216
e 3 221
e 3 225
e 3 229
e 3 230
e 3 231
e 3 236
e 3 239
e 3 247
e 3 248
e 3 249
e 3 250
e 4 7
e 4 8
e 4 11
e 4 12
e 4 14
e 4 16
e 4 17
e 4 19
e 4 21
e 4 22
e 4 23
e 4 24
e 4 25
e 4 27
e 4 31
e 4 32
e 4 33
e 4 35
e 4 40
e 4 41
e 4 42
e 4 44
e 4 45
e 4 46
e 4 49
e 4 52
e 4 54
e 4 58
e 4 61
e 4 62
e 4 63
e 4 65
e 4 69
e 4 73
e 4 76
e 4 80
e 4 82
e 4 86
e 4 87
e 4 91
e 4 95
e 4 96
e 4 97
e 4 101
e 4 104
e 4 106
e 4 107
e 4 108
e 4 109
e 4 113
e 4 114
e 4 117
e 4 118
e 4 119
e 4 120
e 4 121
e 4 123
e 4 124
e 4 127
e 4 128
e 4 130
e 4 131
e 4 132
e 4 134
e 4 135
e 4 136
e 4 137
e 4 138
e 4 139
e 4 140
e 4 143
e 4 144
e 4 145
e 4 146
e 4 147
e 4 148
e 4 150
e 4 151
e 4 152
e 4 153
e 4 155
e 4 156
e 4 157
e 4 160
e 4 163
e 4 164
e 4 166
e 4 169
e 4 171
e 4 175
e 4 176
e 4 177
e 4 180
e 4 182
e 4 183
e 4 187
e 4 193
e 4 195
e 4 196
e 4 200
e 4 204
e 4 205
e 4 207
e 4 209
e 4 212
e 4 214
