c FILE: m500-10-2.dat
c
c AUTHOR: Marcelo de Souza
c
c DESCRIPTION: This is a random graph with 500 vertices.
c   Each of pair of vertices are made adjacent with probability p = 0.1.
c   The random seed used for its generation was 4210601589.
c
c May 7th, 2019
c
p edge 500 12537
e 1 3
e 1 8
e 1 16
e 1 38
e 1 81
e 1 85
e 1 88
e 1 115
e 1 119
e 1 123
e 1 124
e 1 144
e 1 183
e 1 210
e 1 226
e 1 233
e 1 246
e 1 267
e 1 297
e 1 298
e 1 307
e 1 325
e 1 359
e 1 360
e 1 376
e 1 379
e 1 384
e 1 410
e 1 427
e 1 430
e 1 444
e 1 471
e 1 475
e 1 483
e 2 4
e 2 8
e 2 14
e 2 17
e 2 27
e 2 29
e 2 34
e 2 57
e 2 61
e 2 71
e 2 84
e 2 99
e 2 100
e 2 103
e 2 117
e 2 129
e 2 141
e 2 147
e 2 149
e 2 151
e 2 154
e 2 167
e 2 169
e 2 188
e 2 198
e 2 201
e 2 223
e 2 231
e 2 244
e 2 247
e 2 251
e 2 260
e 2 267
e 2 270
e 2 279
e 2 281
e 2 288
e 2 294
e 2 298
e 2 304
e 2 312
e 2 320
e 2 321
e 2 327
e 2 345
e 2 354
e 2 358
e 2 360
e 2 376
e 2 403
e 2 416
e 2 422
e 2 451
e 3 8
e 3 21
e 3 26
e 3 28
e 3 33
e 3 35
e 3 40
e 3 45
e 3 56
e 3 73
e 3 94
e 3 102
e 3 112
e 3 113
e 3 114
e 3 117
e 3 119
e 3 134
e 3 136
e 3 146
e 3 153
e 3 184
e 3 190
e 3 207
e 3 209
e 3 214
e 3 225
e 3 229
e 3 232
e 3 246
e 3 250
e 3 265
e 3 284
e 3 290
e 3 293
e 3 295
e 3 296
e 3 336
e 3 361
e 3 377
e 3 381
e 3 383
e 3 385
e 3 387
e 3 391
e 3 394
e 3 398
e 3 420
e 3 428
e 3 441
e 3 462
e 3 466
e 3 489
e 4 17
e 4 20
e 4 26
e 4 33
e 4 47
e 4 56
e 4 90
e 4 107
e 4 156
e 4 158
e 4 186
e 4 192
e 4 194
e 4 212
e 4 226
e 4 227
e 4 234
e 4 250
e 4 270
e 4 275
e 4 277
e 4 279
e 4 302
e 4 318
e 4 325
e 4 331
e 4 349
e 4 359
e 4 365
e 4 387
e 4 409
e 4 417
e 4 419
e 4 429
e 4 447
e 4 458
e 4 467
e 4 489
e 5 24
e 5 25
e 5 46
e 5 51
e 5 52
e 5 57
e 5 72
e 5 102
e 5 108
e 5 116
e 5 131
e 5 139
e 5 153
e 5 169
e 5 193
e 5 208
e 5 220
e 5 227
e 5 260
e 5 265
e 5 268
e 5 271
e 5 289
e 5 301
e 5 348
e 5 354
e 5 370
e 5 390
e 5 411
e 5 419
e 5 444
e 5 448
e 5 454
e 5 463
e 5 468
e 5 478
e 5 481
e 5 488
e 5 489
e 6 22
e 6 26
e 6 29
e 6 30
e 6 59
e 6 61
e 6 65
e 6 69
e 6 76
e 6 85
e 6 105
e 6 124
e 6 135
e 6 137
e 6 141
e 6 148
e 6 169
e 6 197
e 6 207
e 6 227
e 6 249
e 6 261
e 6 262
e 6 264
e 6 265
e 6 292
e 6 295
e 6 296
e 6 311
e 6 321
e 6 322
e 6 341
e 6 346
e 6 357
e 6 362
e 6 363
e 6 364
e 6 368
e 6 382
e 6 398
e 6 412
e 6 415
e 6 424
e 6 429
e 6 437
e 6 445
e 6 462
e 6 465
e 6 468
e 6 474
e 6 494
e 6 498
e 7 14
e 7 28
e 7 40
e 7 53
e 7 95
e 7 120
e 7 135
e 7 158
e 7 178
e 7 186
e 7 208
e 7 218
e 7 220
e 7 223
e 7 225
e 7 226
e 7 294
e 7 299
e 7 311
e 7 333
e 7 334
e 7 354
e 7 358
e 7 368
e 7 378
e 7 389
e 7 390
e 7 392
e 7 393
e 7 406
e 7 419
e 7 420
e 7 426
e 7 427
e 7 428
e 7 454
e 7 498
e 8 13
e 8 34
e 8 40
e 8 59
e 8 85
e 8 110
e 8 116
e 8 142
e 8 150
e 8 173
e 8 174
e 8 178
e 8 179
e 8 189
e 8 197
e 8 204
e 8 210
e 8 211
e 8 212
e 8 214
e 8 220
e 8 227
e 8 230
e 8 252
e 8 256
e 8 261
e 8 285
e 8 291
e 8 294
e 8 305
e 8 311
e 8 315
e 8 317
e 8 322
e 8 334
e 8 338
e 8 342
e 8 345
e 8 347
e 8 364
e 8 368
e 8 374
e 8 375
e 8 377
e 8 390
e 8 401
e 8 413
e 8 427
e 8 448
e 8 455
e 8 468
e 8 480
e 8 498
e 9 27
e 9 34
e 9 43
e 9 56
e 9 67
e 9 88
e 9 120
e 9 122
e 9 128
e 9 136
e 9 143
e 9 144
e 9 145
e 9 149
e 9 158
e 9 174
e 9 178
e 9 196
e 9 207
e 9 220
e 9 225
e 9 230
e 9 232
e 9 237
e 9 244
e 9 250
e 9 256
e 9 269
e 9 280
e 9 285
e 9 309
e 9 311
e 9 317
e 9 346
e 9 354
e 9 356
e 9 361
e 9 385
e 9 394
e 9 396
e 9 402
e 9 403
e 9 408
e 9 417
e 9 419
e 9 423
e 9 429
e 9 437
e 9 438
e 9 442
e 9 455
e 9 469
e 9 473
e 9 482
e 10 33
e 10 34
e 10 55
e 10 63
e 10 67
e 10 68
e 10 76
e 10 78
e 10 89
e 10 107
e 10 140
e 10 148
e 10 160
e 10 180
e 10 183
e 10 188
e 10 199
e 10 200
e 10 205
e 10 206
e 10 210
e 10 211
e 10 238
e 10 250
e 10 251
e 10 262
e 10 269
e 10 272
e 10 299
e 10 321
e 10 335
e 10 341
e 10 353
e 10 356
e 10 359
e 10 360
e 10 376
e 10 400
e 10 409
e 10 417
e 10 426
e 10 454
e 10 466
e 10 467
e 10 480
e 10 484
e 10 496
e 11 15
e 11 17
e 11 45
e 11 84
e 11 85
e 11 86
e 11 89
e 11 91
e 11 92
e 11 100
e 11 103
e 11 109
e 11 134
